_address	name	description	unit	type	len	factor	offset	formula	role	room	cw	isScale
6150	PV Power of today - Day 52		W	uint16be	1				value		false	false
6151	PV Power of today - Day 53		W	uint16be	1				value		false	false
6152	PV Power of today - Day 54		W	uint16be	1				value		false	false
6153	PV Power of today - Day 55		W	uint16be	1				value		false	false
6154	PV Power of today - Day 56		W	uint16be	1				value		false	false
6155	PV Power of today - Day 57		W	uint16be	1				value		false	false
6156	PV Power of today - Day 58		W	uint16be	1				value		false	false
6157	PV Power of today - Day 59		W	uint16be	1				value		false	false
6158	PV Power of today - Day 60		W	uint16be	1				value		false	false
6159	PV Power of today - Day 61		W	uint16be	1				value		false	false
6160	PV Power of today - Day 62		W	uint16be	1				value		false	false
6161	PV Power of today - Day 63		W	uint16be	1				value		false	false
6162	PV Power of today - Day 64		W	uint16be	1				value		false	false
6163	PV Power of today - Day 65		W	uint16be	1				value		false	false
6164	PV Power of today - Day 66		W	uint16be	1				value		false	false
6165	PV Power of today - Day 67		W	uint16be	1				value		false	false
6166	PV Power of today - Day 68		W	uint16be	1				value		false	false
6167	PV Power of today - Day 69		W	uint16be	1				value		false	false
6168	PV Power of today - Day 70		W	uint16be	1				value		false	false
6169	PV Power of today - Day 71		W	uint16be	1				value		false	false
6170	PV Power of today - Day 72		W	uint16be	1				value		false	false
6171	PV Power of today - Day 73		W	uint16be	1				value		false	false
6172	PV Power of today - Day 74		W	uint16be	1				value		false	false
6173	PV Power of today - Day 75		W	uint16be	1				value		false	false
6174	PV Power of today - Day 76		W	uint16be	1				value		false	false
6175	PV Power of today - Day 77		W	uint16be	1				value		false	false
6176	PV Power of today - Day 78		W	uint16be	1				value		false	false
6177	PV Power of today - Day 79		W	uint16be	1				value		false	false
6178	PV Power of today - Day 80		W	uint16be	1				value		false	false
6179	PV Power of today - Day 81		W	uint16be	1				value		false	false
6180	PV Power of today - Day 82		W	uint16be	1				value		false	false
6181	PV Power of today - Day 83		W	uint16be	1				value		false	false
6182	PV Power of today - Day 84		W	uint16be	1				value		false	false
6183	PV Power of today - Day 85		W	uint16be	1				value		false	false
6184	PV Power of today - Day 86		W	uint16be	1				value		false	false
6185	PV Power of today - Day 87		W	uint16be	1				value		false	false
6186	PV Power of today - Day 88		W	uint16be	1				value		false	false
6187	PV Power of today - Day 89		W	uint16be	1				value		false	false
6188	PV Power of today - Day 90		W	uint16be	1				value		false	false
6189	PV Power of today - Day 91		W	uint16be	1				value		false	false
6190	PV Power of today - Day 92		W	uint16be	1				value		false	false
6191	PV Power of today - Day 93		W	uint16be	1				value		false	false
6192	PV Power of today - Day 94		W	uint16be	1				value		false	false
6193	PV Power of today - Day 95		W	uint16be	1				value		false	false
6194	PV Power of today - Day 96		W	uint16be	1				value		false	false
6195	Daily PV energy yields - Day 1		kWh	uint16be	1	0.1			value		false	false
6196	Daily PV energy yields - Day 2		kWh	uint16be	1	0.1			value		false	false
6197	Daily PV energy yields - Day 3		kWh	uint16be	1	0.1			value		false	false
6198	Daily PV energy yields - Day 4		kWh	uint16be	1	0.1			value		false	false
6199	Daily PV energy yields - Day 5		kWh	uint16be	1	0.1			value		false	false
6200	Daily PV energy yields - Day 6		kWh	uint16be	1	0.1			value		false	false
6201	Daily PV energy yields - Day 7		kWh	uint16be	1	0.1			value		false	false
6202	Daily PV energy yields - Day 8		kWh	uint16be	1	0.1			value		false	false
6203	Daily PV energy yields - Day 9		kWh	uint16be	1	0.1			value		false	false
6204	Daily PV energy yields - Day 10		kWh	uint16be	1	0.1			value		false	false
6205	Daily PV energy yields - Day 11		kWh	uint16be	1	0.1			value		false	false
6206	Daily PV energy yields - Day 12		kWh	uint16be	1	0.1			value		false	false
6207	Daily PV energy yields - Day 13		kWh	uint16be	1	0.1			value		false	false
6208	Daily PV energy yields - Day 14		kWh	uint16be	1	0.1			value		false	false
6209	Daily PV energy yields - Day 15		kWh	uint16be	1	0.1			value		false	false
6210	Daily PV energy yields - Day 16		kWh	uint16be	1	0.1			value		false	false
6211	Daily PV energy yields - Day 17		kWh	uint16be	1	0.1			value		false	false
6212	Daily PV energy yields - Day 18		kWh	uint16be	1	0.1			value		false	false
6213	Daily PV energy yields - Day 19		kWh	uint16be	1	0.1			value		false	false
6214	Daily PV energy yields - Day 20		kWh	uint16be	1	0.1			value		false	false
6215	Daily PV energy yields - Day 21		kWh	uint16be	1	0.1			value		false	false
6216	Daily PV energy yields - Day 22		kWh	uint16be	1	0.1			value		false	false
6217	Daily PV energy yields - Day 23		kWh	uint16be	1	0.1			value		false	false
6218	Daily PV energy yields - Day 24		kWh	uint16be	1	0.1			value		false	false
6219	Daily PV energy yields - Day 25		kWh	uint16be	1	0.1			value		false	false
6220	Daily PV energy yields - Day 26		kWh	uint16be	1	0.1			value		false	false
6221	Daily PV energy yields - Day 27		kWh	uint16be	1	0.1			value		false	false
6222	Daily PV energy yields - Day 28		kWh	uint16be	1	0.1			value		false	false
6223	Daily PV energy yields - Day 29		kWh	uint16be	1	0.1			value		false	false
6224	Daily PV energy yields - Day 30		kWh	uint16be	1	0.1			value		false	false
6225	Daily PV energy yields - Day 31		kWh	uint16be	1	0.1			value		false	false
6226	Monthly PV energy yields - January		kWh	uint16be	1	0.1			value		false	false
6227	Monthly PV energy yields - February		kWh	uint16be	1	0.1			value		false	false
6228	Monthly PV energy yields - March		kWh	uint16be	1	0.1			value		false	false
6229	Monthly PV energy yields - April		kWh	uint16be	1	0.1			value		false	false
6230	Monthly PV energy yields - May		kWh	uint16be	1	0.1			value		false	false
6231	Monthly PV energy yields - June		kWh	uint16be	1	0.1			value		false	false
6232	Monthly PV energy yields - July		kWh	uint16be	1	0.1			value		false	false
6233	Monthly PV energy yields - August		kWh	uint16be	1	0.1			value		false	false
6234	Monthly PV energy yields - September		kWh	uint16be	1	0.1			value		false	false
6235	Monthly PV energy yields - October		kWh	uint16be	1	0.1			value		false	false
6236	Monthly PV energy yields - November		kWh	uint16be	1	0.1			value		false	false
6237	Monthly PV energy yields - December		kWh	uint16be	1	0.1			value		false	false
6249	Yearly PV energy yields - Year 1	2030	kWh	uint32sw	2	0.1			value		false	false
6251	Yearly PV energy yields - Year 2	2031	kWh	uint32sw	2	0.1			value		false	false
6253	Yearly PV energy yields - Year 3	2032	kWh	uint32sw	2	0.1			value		false	false
6255	Yearly PV energy yields - Year 4	2033	kWh	uint32sw	2	0.1			value		false	false
6257	Yearly PV energy yields - Year 5	2034	kWh	uint32sw	2	0.1			value		false	false
6259	Yearly PV energy yields - Year 6	2035	kWh	uint32sw	2	0.1			value		false	false
6261	Yearly PV energy yields - Year 7	2036	kWh	uint32sw	2	0.1			value		false	false
6263	Yearly PV energy yields - Year 8	2037	kWh	uint32sw	2	0.1			value		false	false
6265	Yearly PV energy yields - Year 9	2038	kWh	uint32sw	2	0.1			value		false	false
6267	Yearly PV energy yields - Year 10	2024	kWh	uint32sw	2	0.1			value		false	false
6269	Yearly PV energy yields - Year 11	2025	kWh	uint32sw	2	0.1			value		false	false
6271	Yearly PV energy yields - Year 12	2026	kWh	uint32sw	2	0.1			value		false	false
6273	Yearly PV energy yields - Year 13	2027	kWh	uint32sw	2	0.1			value		false	false
6275	Yearly PV energy yields - Year 14	2028	kWh	uint32sw	2	0.1			value		false	false
6277	Yearly PV energy yields - Year 15	2029	kWh	uint32sw	2	0.1			value		false	false
6279	Yearly PV energy yields - reserved		kWh	uint32sw	2	0.1			value		false	false
6281	Yearly PV energy yields - reserved		kWh	uint32sw	2	0.1			value		false	false
6283	Yearly PV energy yields - reserved		kWh	uint32sw	2	0.1			value		false	false
6285	Yearly PV energy yields - reserved		kWh	uint32sw	2	0.1			value		false	false
6287	Yearly PV energy yields - reserved		kWh	uint32sw	2	0.1			value		false	false
6289	Direct power consumption of today from PV - Day 1		W	uint16be	1				value		false	false
6290	Direct power consumption of today from PV - Day 2		W	uint16be	1				value		false	false
6291	Direct power consumption of today from PV - Day 3		W	uint16be	1				value		false	false
6292	Direct power consumption of today from PV - Day 4		W	uint16be	1				value		false	false
6293	Direct power consumption of today from PV - Day 5		W	uint16be	1				value		false	false
6294	Direct power consumption of today from PV - Day 6		W	uint16be	1				value		false	false
6295	Direct power consumption of today from PV - Day 7		W	uint16be	1				value		false	false
